Date,Hour, Min., Sec., Elapse[min.],MFC-1[sccm],MFC-2[sccm],MFC-3[sccm],MFC-4[sccm],MFC-5[sccm],MFC-6[sccm],Pre-HT['C],HJ['C],HB-1['C],HB-2['C],HB-3['C],HB-4['C],HB-5['C],TI-1['C],TI-2['C],TI-3['C],TI-4['C],TI-5['C],TI-6['C],TI-7['C],TI-8['C],TI-9['C],TI-10['C],TI-11['C],TI-12['C],TI-13['C],TI-14['C],TI-15['C],TI-16['C],TI-SP1['C],TI-SP2['C],PT-1[bar],Volt[V],Curr[A]
2025-11-04-,19, 1,50,0.72,75.05,-1.39,-1.40,-0.89,-0.08,-0.40,200.00,100.00,0.00,97.60,99.90,0.00,90.10,60.50,60.80,65.80,71.30,78.00,73.70,84.20,74.40,95.30,104.10,84.80,110.60,65.50,78.40,87.00,68.30,1448.50,1448.50,0.000,3.710,72.100
2025-11-04-,19, 1,51,0.73,44.44,-1.38,-1.39,-0.90,-0.08,-0.40,200.00,100.00,0.00,97.70,99.90,0.00,90.10,60.50,60.80,65.80,71.30,78.00,73.70,84.20,74.40,95.30,104.10,84.80,110.60,65.50,78.40,87.00,68.30,1448.50,1448.50,0.000,3.710,72.100
2025-11-04-,19, 1,52,0.75,45.16,-1.38,-1.38,-0.90,-0.08,-0.40,200.00,100.00,0.00,97.70,99.90,0.00,90.10,61.40,61.70,66.90,72.50,79.20,74.90,85.50,75.70,96.90,105.80,86.40,112.30,66.80,78.40,88.30,68.30,1448.50,1448.50,0.000,3.720,72.100
2025-11-04-,19, 1,53,0.77,47.54,-1.38,-1.39,-0.86,-0.08,-0.40,200.00,100.00,0.00,97.70,99.90,0.00,90.10,61.40,61.70,66.90,72.50,79.20,74.90,85.50,75.70,96.90,105.80,86.40,112.30,66.80,79.70,88.30,69.30,1448.50,1448.50,0.004,3.720,72.100
2025-11-04-,19, 1,54,0.78,47.88,-1.38,-1.39,-0.89,-0.08,-0.40,200.00,100.00,0.00,97.60,99.90,0.00,90.10,61.40,61.70,66.90,72.50,79.20,74.90,85.50,75.70,96.90,105.80,86.40,112.30,66.80,79.70,88.30,69.30,1448.50,1448.50,0.004,3.720,72.100
2025-11-04-,19, 1,55,0.80,48.09,-1.39,-1.40,-0.90,-0.08,-0.40,200.00,100.00,0.00,97.60,99.90,0.00,90.10,62.20,62.60,67.90,73.60,80.50,76.10,87.00,77.00,98.60,107.40,88.00,114.00,68.10,81.20,89.40,70.40,1448.50,1448.50,0.004,3.720,72.100
2025-11-04-,19, 1,56,0.82,48.40,-1.39,-1.39,-0.89,-0.08,-0.40,200.00,100.00,0.00,97.60,99.90,0.00,90.10,62.20,62.60,67.90,73.60,80.50,76.10,87.00,77.00,98.60,107.40,88.00,114.00,68.10,81.20,89.40,70.40,1448.50,1448.50,0.005,3.720,72.100
2025-11-04-,19, 1,57,0.83,48.53,-1.38,-1.39,-0.90,-0.08,-0.40,200.00,99.90,0.00,97.60,99.90,0.00,90.10,63.00,62.60,69.10,73.60,81.80,76.10,87.00,77.00,98.60,107.40,88.00,114.00,68.10,81.20,89.40,70.40,1448.50,1448.50,0.005,3.720,72.100
2025-11-04-,19, 1,58,0.85,48.73,-1.38,-1.38,-0.90,-0.08,-0.40,200.00,99.90,0.00,97.60,99.90,0.00,90.10,63.00,63.40,69.10,74.90,81.80,77.40,88.40,78.50,100.20,109.10,89.60,115.80,69.40,82.60,90.60,71.50,1448.50,1448.50,0.005,3.720,72.100
2025-11-04-,19, 1,59,0.87,48.81,-1.39,-1.39,-0.87,-0.08,-0.40,200.00,100.00,0.00,97.60,99.90,0.00,90.10,63.00,63.40,69.10,74.90,81.80,77.40,88.40,78.50,100.20,109.10,89.60,115.80,69.40,82.60,90.60,71.50,1448.50,1448.50,0.005,3.730,72.100
