Trial Number,Recovery Ratio,Flux,Energy Efficiency,Voltage,Electrolyte,LA conc
0,46.514034271240234,25.14548692703247,4.476861959905751,25.0,0.65,1.0
1,48.16172520319621,65.09057161211967,2.460756653033089,30.0,0.5,2.5
2,46.58010105292003,25.181202629208563,3.3360054733668587,12.5,0.65,1.0
3,46.66392008463542,50.45303039550781,2.5711185748139194,22.5,0.8500000000000001,2.0
4,46.38229807217916,25.074270337820053,5.6727579863130995,35.0,0.9500000000000001,1.0
5,46.58518234888713,25.183949577808377,3.507739306188493,15.0,0.6000000000000001,1.0
6,46.42504950364431,25.09738176167011,5.636649186150075,35.0,0.45,1.0
7,48.11850521299574,78.03859175443648,1.995807089397567,27.5,0.55,3.0
8,48.22386304537456,52.13964072465896,3.0593906364246113,32.5,0.3,2.0
9,46.73641588952807,37.898559644818306,2.6837635897409955,15.0,0.4,1.5
10,48.05934098031786,77.9426392018795,1.826967774656996,22.5,0.8,3.0
11,48.05934098031786,77.9426392018795,1.826967774656996,22.5,0.8,3.0
12,47.98250397046407,77.81802493929862,1.749659996630956,20.0,1.0,3.0
13,46.72844012578328,63.153486829996105,1.9239204738841766,17.5,1.0,2.5
14,4.359745317035252,7.07063495516777,9.915776922205321,10.0,0.25,3.0
15,46.665624777476,63.0685918867588,2.3817818280331484,27.5,0.9,2.5
16,48.101269536548195,78.01063893437384,1.6632246359746328,17.5,0.75,3.0
17,48.10679753621419,65.01633687019348,1.9208382908465709,17.5,0.75,2.5
18,46.47498826185863,12.562189327180384,5.711964795249897,10.0,0.7,0.5
19,4.990337789058685,6.744441521912813,11.651490742017513,17.5,0.5,2.5
20,46.6353048880895,50.42209164500236,2.860080735255277,27.5,0.75,2.0
21,4.616883479886585,7.487661627680063,10.228167881935127,15.0,0.55,3.0
22,48.05784225463867,64.95017380714417,2.0192538142261958,20.0,0.8500000000000001,2.5
23,48.049744632509025,77.92707584500312,2.1164659214141084,30.0,0.7,3.0
24,46.62757118542989,12.6034324914217,5.9162357945581485,12.5,0.35,0.5
25,48.054264651404495,38.96720320582389,2.988986005950602,20.0,0.6000000000000001,1.5
26,46.687229474385575,63.097790634632105,2.2551147907668727,25.0,0.9,2.5
27,4.513300541374419,7.319670818001032,9.952223672348516,12.5,0.55,3.0
28,48.10679753621419,65.01633687019348,1.9208382908465709,17.5,0.75,2.5
29,48.11149338881175,52.01814665198326,2.68323689122002,25.0,0.7,2.0
30,48.0498837100135,77.92730140089988,1.7433707416864332,20.0,0.8500000000000001,3.0
31,48.1540858745575,78.09629647135733,2.207230992313593,32.5,0.25,3.0
32,4.678464598125882,7.587533885240554,10.07299113886989,15.0,0.65,3.0
33,46.649757358762955,37.82828824222088,2.4895328323687753,12.5,0.8,1.5
