,Unnamed: 0.1,Unnamed: 0,Num,Type,Reaction,ELoss,Species,Formula,Energy(eV),Cross_section(m2)
0,0,0,31,IONIZATION,CH4(v13) -> H2 H CH^+,22.2,e / CH4(v13),E + CH4(v13) -> E + E + H2 + H + CH^+,22.2,0.0
1,1,1,31,IONIZATION,CH4(v13) -> H2 H CH^+,22.2,e / CH4(v13),E + CH4(v13) -> E + E + H2 + H + CH^+,23.0,1.94633e-23
2,2,2,31,IONIZATION,CH4(v13) -> H2 H CH^+,22.2,e / CH4(v13),E + CH4(v13) -> E + E + H2 + H + CH^+,24.0,3.7144e-23
3,3,3,31,IONIZATION,CH4(v13) -> H2 H CH^+,22.2,e / CH4(v13),E + CH4(v13) -> E + E + H2 + H + CH^+,25.0,6.36186e-23
4,4,4,31,IONIZATION,CH4(v13) -> H2 H CH^+,22.2,e / CH4(v13),E + CH4(v13) -> E + E + H2 + H + CH^+,26.0,1.04454e-22
5,5,5,31,IONIZATION,CH4(v13) -> H2 H CH^+,22.2,e / CH4(v13),E + CH4(v13) -> E + E + H2 + H + CH^+,27.0,1.59397e-22
6,6,6,31,IONIZATION,CH4(v13) -> H2 H CH^+,22.2,e / CH4(v13),E + CH4(v13) -> E + E + H2 + H + CH^+,28.0,2.25877e-22
7,7,7,31,IONIZATION,CH4(v13) -> H2 H CH^+,22.2,e / CH4(v13),E + CH4(v13) -> E + E + H2 + H + CH^+,29.0,3.00705e-22
8,8,8,31,IONIZATION,CH4(v13) -> H2 H CH^+,22.2,e / CH4(v13),E + CH4(v13) -> E + E + H2 + H + CH^+,30.0,3.80832e-22
9,9,9,31,IONIZATION,CH4(v13) -> H2 H CH^+,22.2,e / CH4(v13),E + CH4(v13) -> E + E + H2 + H + CH^+,40.0,1.11804e-21
10,10,10,31,IONIZATION,CH4(v13) -> H2 H CH^+,22.2,e / CH4(v13),E + CH4(v13) -> E + E + H2 + H + CH^+,50.0,1.5148399999999998e-21
11,11,11,31,IONIZATION,CH4(v13) -> H2 H CH^+,22.2,e / CH4(v13),E + CH4(v13) -> E + E + H2 + H + CH^+,60.0,1.68917e-21
12,12,12,31,IONIZATION,CH4(v13) -> H2 H CH^+,22.2,e / CH4(v13),E + CH4(v13) -> E + E + H2 + H + CH^+,70.0,1.7519199999999998e-21
13,13,13,31,IONIZATION,CH4(v13) -> H2 H CH^+,22.2,e / CH4(v13),E + CH4(v13) -> E + E + H2 + H + CH^+,80.0,1.75767e-21
14,14,14,31,IONIZATION,CH4(v13) -> H2 H CH^+,22.2,e / CH4(v13),E + CH4(v13) -> E + E + H2 + H + CH^+,90.0,1.73331e-21
15,15,15,31,IONIZATION,CH4(v13) -> H2 H CH^+,22.2,e / CH4(v13),E + CH4(v13) -> E + E + H2 + H + CH^+,100.0,1.69288e-21
