T,GHSV,X_CO2_data,X_CO2_model,S_CH4_data,S_CH4_model,S_CO_data,S_CO_model,F_CO2_data,F_H2_data,F_CO_data,F_CH4_data,F_H2O_data,F_CO2_model,F_H2_model,F_CO_model,F_CH4_model,F_H2O_model,S_total_model,S_total_data,residual_X_CO2,residual_S_CH4
400,100000,24.09125529872643,24.248869383604408,82.30526835539928,81.8852748590417,17.694731644600722,18.11578320819288,59.17193194670147,168.8065842721746,3.3229771126066296,15.45649453663189,34.134637442381575,59.049069555274194,168.51749219762175,3.4243058560954616,15.47822818397339,34.38056222548167,100.00105806723458,100.0,-0.15761408487797723,0.4199934963575771
400,120000,21.565578705024326,21.145711352410004,81.56259973131657,81.41578388352725,18.43740026868344,18.585227232418323,73.36887876214368,211.0486806304724,3.7193409052269186,16.453464647757404,36.66944301939676,73.76162975566845,212.53303896735233,3.6761680865718778,16.10408647217336,35.88414103378139,100.00101111594557,100.0,0.41986735261432173,0.14681584778931267
400,140000,19.183838448063227,18.746590908542448,80.46725183230866,81.06592273794654,19.532748167691338,18.93505484975875,88.19626516693596,255.7055632561164,4.089317532239031,16.846382335140998,37.99756717654957,88.67344199887918,257.18300063582075,3.8738325582104873,16.584890477232197,37.043413512576606,100.00097758770528,100.0,0.4372475395207793,-0.5986709056378743
400,160000,17.492653196440155,16.836708217356005,81.68751114321834,80.79357885712926,18.312488856781652,19.207373563858244,102.90501584503176,298.9217527570179,3.995277795847418,17.82195211262485,39.60108027824443,103.72312515385285,302.27009347778676,4.033379538700108,16.965941060982836,37.965061660611624,100.0009524209875,100.0,0.6559449790841505,0.8939322860890826
400,180000,14.924641440554158,15.280472631900299,80.91350297515929,80.57451980479705,19.086497024840714,19.426413012671883,119.37138500046007,349.33197821550925,3.99693034406523,16.944211128166685,37.71717894623331,118.87210926590443,347.67092258577264,4.165103998230521,17.27551320851416,38.71593041535783,100.00093281746894,100.0,-0.35583119134614094,0.33898317036224057
400,200000,13.959134620506482,13.987906020725058,79.11987759276221,80.39419774384685,20.88012240723779,19.606719370197474,134.1401244588168,394.02158303825126,4.544074793762396,17.218607939300792,39.249622658787096,134.09526903820762,393.3051973830017,4.275742807339283,17.531995346328202,39.33953350001142,100.00091711404431,100.0,-0.028771400218575494,-1.2743201510846376
500,100000,58.97731822925337,59.11652002180362,82.45602117668014,81.95559641759593,17.54397882331987,18.044902065093623,27.84172102210323,64.78252757254323,7.022393227124087,33.00497626439489,72.81479143953358,27.747246031520714,64.83943624126161,7.239947543504384,32.882096939046576,73.00394142110801,100.00049848268955,100.0,-0.1392017925502529,0.5004247590842112
500,120000,57.877986284407775,58.61052482569886,77.94479811621791,79.35280081570355,22.055201883782086,20.647618171797625,34.30539313775478,86.42717038343406,10.396274201802465,36.7412412767894,84.41907291202708,33.70879244299156,82.95983529101993,9.855958045156653,37.87835812817899,85.61247430158423,100.00041898750118,100.0,-0.7325385412910848,-1.4080026994856354
500,140000,60.04977380693676,57.52485128926917,77.4917791078994,77.05702771047638,22.508220892100592,22.94333819902159,37.95939724551365,95.046464502512,12.842589753041922,44.21473972051551,101.57423621367026,40.35849597399415,104.03822537722301,12.540422733444599,42.11800801129005,96.77623875463937,100.00036590949796,100.0,2.5249225176675907,0.43475139742302815
500,160000,55.14422576307172,56.01088380722469,73.85758809351992,75.17182110806294,26.14241190648007,24.82850771803687,48.70912962791502,132.65619115797492,15.654446215413786,44.22696897846672,104.66150535047827,47.7680209360274,127.7852140328138,15.101325037282763,45.72139884881848,106.5439227352292,100.00032882609982,100.0,-0.8666580441529703,-1.3142330145430208
500,180000,52.80985107116996,54.24891588180003,74.64055953468274,73.66597728022344,25.359440465317263,26.334324502667666,57.649544802037404,158.60751546573303,16.36059689307868,48.15422122940388,111.57713084901906,55.89152044406023,153.75893503872013,17.452505395946055,48.82053708461374,115.09337956539768,100.00030178289111,100.0,-1.4390648106300716,0.9745822544592926
500,200000,54.10512727542355,52.377593813211554,71.84281351386494,72.46964874862617,28.157186486135057,27.53063255931903,62.296865421109004,174.38058379283547,20.67900819309055,52.762307413044844,127.30934446280806,64.64178791935255,181.54853090039222,19.573286749462728,51.52330635823169,122.61969946557221,100.0002813079452,100.0,1.7275334622119942,-0.6268352347612307
600,100000,58.547468036902465,58.05328723907195,51.824388123220714,46.73777346137539,48.175611876779286,53.26279980653506,24.911391908849556,92.03258729053222,16.950491233991,18.23430574865233,51.78736788664176,25.20837573457927,96.48369227582751,18.582226078644894,16.305787078906203,51.19360023579154,100.00057326791045,100.0,0.4941807978305164,5.086614661845324
600,120000,60.26346657359992,58.045159379517486,48.12321293448042,46.75486583501677,51.87678706551958,53.24561195557922,28.656170624232725,109.88814184123243,22.545265719013454,20.913990326545292,64.6301575150514,30.255912322091955,115.77298634346758,22.288354576066094,19.571359772456507,61.43087412011744,100.000477790596,100.0,2.218307194082435,1.368347099463648
600,140000,59.06286160407142,58.027950531768965,49.73524277405459,46.791089272013764,50.26475722594541,53.2093203823816,34.44232402406473,129.56775317794376,24.977734274026652,24.714606149998648,73.40702786632907,35.313042982082536,135.0501664252538,25.977652981721516,22.844168484204204,71.66578995037277,100.00040965439536,100.0,1.0349110723024566,2.9441535020408267
600,160000,57.158803261717864,57.99913512617765,44.07296509656988,46.851805393308034,55.92703490343012,53.148553232843895,41.1934824243426,159.73560840180403,30.737733165761995,24.222686636284028,80.2807250047938,40.385470545012744,154.30802375111372,29.640114599298244,26.12851708225817,81.89694876369533,100.00035862615192,100.0,-0.8403318644597846,-2.778840296738153
600,180000,55.792684289381654,57.95764146672403,42.70042434024937,46.93935679208467,57.29957565975063,53.06096221497227,47.820441515961264,185.5386646859012,34.5818401332487,25.770858355477248,87.43903861720587,45.47853935747316,173.53979250464138,33.266358360246,29.428442287168423,92.12304293452287,100.00031900705694,100.0,-2.164957177342373,-4.2389324518353035
600,200000,59.00682518364443,57.903695610312155,42.956130395153174,47.05339121089925,57.043869604846826,52.94689616275746,49.27067154051387,194.65211073098624,40.45648563048818,30.465220611983717,104.99458139400362,50.59654920472924,192.7400123084165,36.84883109094017,32.74719748739387,102.34302606571049,100.0002873736567,100.0,1.103129573332275,-4.0972608157460755
700,100000,63.96742109586171,66.59986305280658,8.848501015641716,8.218253743163629,91.15149898435828,91.78230318764005,19.429040295185185,119.63492256317109,31.439719289711135,3.0520001444434603,36.02335633596135,18.009607592566603,116.99761823702622,32.96008253234784,2.951269604693547,38.86242174159028,100.00055693080368,100.0,-2.6324419569448736,0.630247272478087
700,120000,68.99951289702166,66.59987649310033,0.04470529258833267,8.218240376914784,99.95529470741167,91.78222373192901,20.058837798866303,144.3347417375618,44.62611471838582,0.0199591579556216,49.74007497215021,21.611520414549737,140.39708832340432,39.552072780532676,3.5415184803652635,46.63490974103535,100.00046410884379,100.0,2.3996364039213347,-8.173535084326451
700,140000,69.88941716966472,66.59988625864351,9.894314743725516,8.218230737380896,90.10568525627448,91.78216706966984,22.730197029468485,156.65326423784376,47.53873827581135,5.2201283157958684,59.37366999379159,25.213433111724257,163.796558394078,46.144063189422845,4.131767319931568,54.40739782927632,100.00039780705073,100.0,3.2895309110212168,1.6760840063446203
700,160000,67.83308595216583,66.59986776702479,5.127162189813532,8.21823929020807,94.87283781018647,91.78210879107256,27.751431097721458,188.51108823872462,55.52127766311209,3.0005068061101294,64.3075448498861,28.815368080998944,187.19602902259277,52.73602408855834,4.722023397397739,62.17987088331899,100.00034808128063,100.0,1.233218185141041,-3.0910771003945374
