x,y
0.1,-11.541084568724031
0.2,-1.4703325724477088
0.30000000000000004,-0.5262407778258493
0.4,2.548838867193214
0.5,1.210037191664309
0.6,1.3496046938537882
0.7000000000000001,1.6635618442823732
0.8,1.204756792472318
0.9,3.062433678371622
1.0,2.1705213279543107
1.1,3.8572667323825858
1.2000000000000002,1.2078699362539453
1.3000000000000003,1.9676809758638707
1.4000000000000001,1.7670509992210608
1.5000000000000002,3.0673304014337406
1.6,3.9367891568385813
1.7000000000000002,1.4049431087827582
1.8000000000000003,4.18772675333038
1.9000000000000001,2.769611697527274
2.0,1.1862029879797062
2.1,3.2987740936208034
2.2,2.023514962099402
2.3000000000000003,2.083867745872269
2.4000000000000004,2.2309216861909196
2.5000000000000004,1.9398831659687794
2.6,3.457662461904179
2.7,3.778531684778141
2.8000000000000003,3.064121404312555
2.9000000000000004,2.0439696975826713
3.0000000000000004,2.835325289090223
3.1,5.607648889165354
3.2,3.739290571266696
3.3000000000000003,2.698652315907788
3.4000000000000004,4.2943059802012815
3.5000000000000004,4.3014337664084525
3.6,4.988870797959691
3.7,3.1501769058745275
3.8000000000000003,5.659113087906346
3.9000000000000004,5.192139207090964
4.0,6.060274583651504
4.1,6.966085251559435
4.2,4.912295243164587
4.3,6.40428617242689
4.3999999999999995,6.998869246676716
4.5,5.170831406203515
4.6,5.097256300629131
4.7,7.33699022828246
4.8,8.066208649535872
4.9,8.413097005403031
5.0,5.850761801569984
5.1,7.5409967860112115
5.2,9.424497353138584
5.3,6.629629616559894
5.4,8.808286018207632
5.5,9.79654274837724
5.6,10.59377407634518
5.7,11.3867500560644
5.8,8.178915373558628
5.9,9.33785535287351
6.0,10.085169140338571
6.1,11.671466717257935
6.2,11.986687366517403
6.3,13.262871103354628
6.4,13.080384979039506
6.5,13.993327743542812
6.6,15.314823728779707
6.7,14.647042903820259
6.8,13.541252144388048
6.9,13.602752068176745
7.0,14.46976419972661
7.1,14.492034198594045
7.2,17.23200360579345
7.3,18.430718364947065
7.4,19.03770359331194
7.5,20.12565177983376
7.6,19.971320217873956
7.7,18.938735625600167
7.8,18.414100746668076
7.9,21.211653188266503
8.0,22.160822132113076
8.1,21.759669215629938
8.2,22.763807166875896
8.3,22.948999591496868
8.4,24.209307093414623
8.5,23.673745398749798
8.6,25.33479095652618
8.7,26.044846548191508
8.8,26.495602456313517
8.9,26.410181978047255
9.0,29.368781083496877
9.1,29.302708148775224
9.2,29.430225139018063
9.3,28.20297383774612
9.4,29.72113076633012
9.5,31.633407856038914
9.6,33.102441329304945
9.700000000000001,33.23901540567531
9.8,33.358305868051644
9.9,34.75557465270929
10.0,34.14759984177737
