x,y
0.1,15.594656258864253
0.2,4.988868242927991
0.30000000000000004,2.031358534896467
0.4,2.647030378999423
0.5,0.5976356536705345
0.6,-2.22478376798078
0.7000000000000001,-1.9121545574514318
0.8,-1.1514983982552938
0.9,-3.592246945524507
1.0,-1.8883761756844561
1.1,-3.4951212928414046
1.2000000000000002,-1.6858778732448534
1.3000000000000003,-4.649707591955034
1.4000000000000001,-2.837656019648602
1.5000000000000002,-5.63263593079484
1.6,-2.4350289860482635
1.7000000000000002,-2.946079816759825
1.8000000000000003,-3.696838314209189
1.9000000000000001,-3.8067180130070066
2.0,-2.0048314725497924
2.1,-4.1002108478873085
2.2,-2.4633605960219547
2.3000000000000003,-4.064698227387713
2.4000000000000004,-4.212377656534246
2.5000000000000004,-3.58369921352063
2.6,-5.998708594585106
2.7,-3.8404313540165433
2.8000000000000003,-4.352713972800789
2.9000000000000004,-4.045743883744839
3.0000000000000004,-4.511155635214608
3.1,-4.0829966825841195
3.2,-3.0288975716073887
3.3000000000000003,-2.174406400168366
3.4000000000000004,-3.3578715988021353
3.5000000000000004,-4.885812997826142
3.6,-4.002316654035927
3.7,-3.030054631520593
3.8000000000000003,-3.187948920962311
3.9000000000000004,-2.7070453317286556
4.0,-1.4852923323222027
4.1,-4.63630453287747
4.2,-2.905775796592315
4.3,-1.7202998574618626
4.3999999999999995,-2.328181357244532
4.5,-3.063890696603542
4.6,-2.662839716911402
4.7,-1.4206506632067266
4.8,-2.529336523642492
4.9,-2.795247329385935
5.0,-1.5407764258937153
5.1,-0.5936905209485596
5.2,-0.29543225648300664
5.3,-1.909443770527647
5.4,-1.8346200309755192
5.5,-0.1758632547100033
5.6,0.21240683260069038
5.7,-1.9002281494430788
5.8,0.3415434682865559
5.9,1.6910937778302737
6.0,0.8106968568524429
6.1,-0.23518230450700917
6.2,0.26906872162219697
6.3,2.966114847388077
6.4,2.234071223966901
6.5,2.1335262567363946
6.6,1.3948940735539024
6.7,3.1726312258515366
6.8,2.6925285261147787
6.9,1.9858113150830574
7.0,1.1270315671647482
7.1,3.429975395720226
7.2,3.7979088367447082
7.3,3.819234415242591
7.4,4.251847746662672
7.5,6.849100980822355
7.6,4.553278620620881
7.7,6.119969411033193
7.8,5.907833636179664
7.9,7.14580634853155
8.0,6.526004205628255
8.1,7.713141238855106
8.2,8.914145943443259
8.3,7.051806487919742
8.4,9.547582150868207
8.5,8.508883632243606
8.6,11.298538871348788
8.7,8.34179364768975
8.8,10.183104489394788
8.9,11.480262567451522
9.0,9.06418489733267
9.1,10.573340289613231
9.2,10.71478657007266
9.3,11.784912313652756
9.4,13.00049288763571
9.5,14.228077468875284
9.6,13.480515389966326
9.700000000000001,16.282141810377805
9.8,13.26576281026474
9.9,14.058553901311226
10.0,16.120386361048208
