,Num,Type,Reaction,ELoss,Species,Formula,Energy(eV),Cross_section(m2)
0,34,IONIZATION,CH3 -> H2 CH+,16.0,e / CH3,E + CH3 -> E + E + H2 + CH+,16,0.0
1,34,IONIZATION,CH3 -> H2 CH+,16.0,e / CH3,E + CH3 -> E + E + H2 + CH+,17,3.58455e-23
2,34,IONIZATION,CH3 -> H2 CH+,16.0,e / CH3,E + CH3 -> E + E + H2 + CH+,18,1.0548e-22
3,34,IONIZATION,CH3 -> H2 CH+,16.0,e / CH3,E + CH3 -> E + E + H2 + CH+,19,1.90791e-22
4,34,IONIZATION,CH3 -> H2 CH+,16.0,e / CH3,E + CH3 -> E + E + H2 + CH+,20,2.81629e-22
5,34,IONIZATION,CH3 -> H2 CH+,16.0,e / CH3,E + CH3 -> E + E + H2 + CH+,30,1.03062e-21
6,34,IONIZATION,CH3 -> H2 CH+,16.0,e / CH3,E + CH3 -> E + E + H2 + CH+,40,1.48566e-21
7,34,IONIZATION,CH3 -> H2 CH+,16.0,e / CH3,E + CH3 -> E + E + H2 + CH+,50,1.75409e-21
8,34,IONIZATION,CH3 -> H2 CH+,16.0,e / CH3,E + CH3 -> E + E + H2 + CH+,60,1.89905e-21
9,34,IONIZATION,CH3 -> H2 CH+,16.0,e / CH3,E + CH3 -> E + E + H2 + CH+,70,1.96574e-21
10,34,IONIZATION,CH3 -> H2 CH+,16.0,e / CH3,E + CH3 -> E + E + H2 + CH+,80,1.98407e-21
11,34,IONIZATION,CH3 -> H2 CH+,16.0,e / CH3,E + CH3 -> E + E + H2 + CH+,90,1.97294e-21
12,34,IONIZATION,CH3 -> H2 CH+,16.0,e / CH3,E + CH3 -> E + E + H2 + CH+,100,1.94414e-21
